train_loss,epoch,step,train_acc,val_acc,val_loss
0.6823755502700806,0,49,0.5,,
0.7082623243331909,0,99,0.375,,
0.6464570164680481,0,149,0.625,,
0.7082298398017883,0,199,0.4375,,
0.5838835835456848,0,249,0.9375,,
0.618260383605957,0,299,0.75,,
0.831753671169281,0,349,0.375,,
0.6938913464546204,0,399,0.375,,
0.6231964826583862,0,449,0.5625,,
0.6766601204872131,0,499,0.6875,,
0.5052998065948486,0,549,0.75,,
0.5326715111732483,0,599,0.6875,,
0.6545615792274475,0,649,0.6875,,
0.6764277815818787,0,699,0.75,,
0.5532680153846741,0,749,0.8125,,
0.7426624894142151,0,799,0.625,,
0.8174604773521423,0,849,0.5,,
0.6306788921356201,0,899,0.625,,
0.7165860533714294,0,949,0.625,,
0.6607285737991333,0,999,0.6875,,
0.5747354626655579,0,1049,0.75,,
0.5503847002983093,0,1099,0.5625,,
0.5759975910186768,0,1149,0.5,,
0.5991541147232056,0,1199,0.5,,
0.44946253299713135,0,1249,0.8125,,
,0,1249,,0.7235999703407288,0.541806697845459
0.5833777189254761,1,1299,0.5625,,
0.31552746891975403,1,1349,1.0,,
0.5166682004928589,1,1399,0.8125,,
0.5836861729621887,1,1449,0.6875,,
0.663558840751648,1,1499,0.5625,,
0.7446920871734619,1,1549,0.5625,,
0.5621410012245178,1,1599,0.625,,
0.5661581754684448,1,1649,0.5625,,
0.5364658236503601,1,1699,0.75,,
0.4314926564693451,1,1749,0.75,,
0.3414210081100464,1,1799,0.9375,,
0.4467126131057739,1,1849,0.8125,,
0.6385577321052551,1,1899,0.8125,,
0.4217257797718048,1,1949,0.8125,,
0.41374287009239197,1,1999,0.875,,
0.5035333037376404,1,2049,0.75,,
0.4160684645175934,1,2099,0.75,,
0.5406374335289001,1,2149,0.625,,
0.44619154930114746,1,2199,0.8125,,
0.6289191246032715,1,2249,0.625,,
0.49253296852111816,1,2299,0.8125,,
0.6301693320274353,1,2349,0.625,,
0.5290549993515015,1,2399,0.625,,
0.352277010679245,1,2449,0.9375,,
0.2636282444000244,1,2499,0.9375,,
,1,2499,,0.758400022983551,0.49590742588043213
0.4215211868286133,2,2549,0.8125,,
0.20636242628097534,2,2599,1.0,,
0.28866440057754517,2,2649,0.75,,
0.1881750077009201,2,2699,0.9375,,
0.2286168932914734,2,2749,0.875,,
0.4038395583629608,2,2799,0.8125,,
0.2631217837333679,2,2849,0.875,,
0.3291557729244232,2,2899,0.875,,
0.3477804660797119,2,2949,0.75,,
0.5196653008460999,2,2999,0.8125,,
0.3064265847206116,2,3049,0.9375,,
0.09212544560432434,2,3099,1.0,,
0.3769446015357971,2,3149,0.75,,
0.32282310724258423,2,3199,0.9375,,
0.26193681359291077,2,3249,0.9375,,
0.2982991635799408,2,3299,0.875,,
0.4448757767677307,2,3349,0.6875,,
0.3643399178981781,2,3399,0.9375,,
0.2503689229488373,2,3449,0.875,,
0.46325767040252686,2,3499,0.8125,,
0.6454338431358337,2,3549,0.8125,,
0.5142995715141296,2,3599,0.6875,,
0.37905752658843994,2,3649,0.8125,,
0.3137318789958954,2,3699,0.8125,,
0.4476791322231293,2,3749,0.8125,,
,2,3749,,0.770799994468689,0.4914188086986542
0.10083039104938507,3,3799,1.0,,
0.1649823784828186,3,3849,0.9375,,
0.044690798968076706,3,3899,1.0,,
0.16640153527259827,3,3949,0.875,,
0.38340622186660767,3,3999,0.9375,,
0.0722677931189537,3,4049,1.0,,
0.029230205342173576,3,4099,1.0,,
0.08949451893568039,3,4149,0.9375,,
0.1983896940946579,3,4199,0.875,,
0.24767380952835083,3,4249,0.875,,
0.196507066488266,3,4299,0.9375,,
0.14491643011569977,3,4349,0.9375,,
0.4129425883293152,3,4399,0.9375,,
0.22521965205669403,3,4449,0.875,,
0.27141234278678894,3,4499,0.9375,,
0.24474763870239258,3,4549,0.875,,
0.12801869213581085,3,4599,0.9375,,
0.17014923691749573,3,4649,0.9375,,
0.32867202162742615,3,4699,0.875,,
0.10256710648536682,3,4749,1.0,,
0.19508852064609528,3,4799,0.9375,,
0.306970477104187,3,4849,0.875,,
0.20234180986881256,3,4899,0.9375,,
0.318545401096344,3,4949,0.8125,,
0.08791423588991165,3,4999,1.0,,
,3,4999,,0.7657999992370605,0.6949044466018677
0.050151363015174866,4,5049,1.0,,
0.010187631472945213,4,5099,1.0,,
0.019675012677907944,4,5149,1.0,,
0.03324585035443306,4,5199,1.0,,
0.03626519441604614,4,5249,1.0,,
0.017898589372634888,4,5299,1.0,,
0.09383726119995117,4,5349,0.9375,,
0.1962151825428009,4,5399,0.9375,,
0.053143925964832306,4,5449,0.9375,,
0.0015393042704090476,4,5499,1.0,,
0.050230320543050766,4,5549,1.0,,
1.475942611694336,4,5599,0.9375,,
0.029156994074583054,4,5649,1.0,,
0.034256402403116226,4,5699,1.0,,
0.014135938137769699,4,5749,1.0,,
0.05569371581077576,4,5799,0.9375,,
0.03503725677728653,4,5849,1.0,,
0.05580546706914902,4,5899,0.9375,,
0.0805879533290863,4,5949,1.0,,
0.03228497505187988,4,5999,1.0,,
0.5054556131362915,4,6049,0.8125,,
0.21623925864696503,4,6099,0.9375,,
0.07867063581943512,4,6149,0.9375,,
0.04665688797831535,4,6199,1.0,,
0.15546154975891113,4,6249,0.875,,
,4,6249,,0.7329999804496765,0.912947952747345
0.014714851975440979,5,6299,1.0,,
0.006038046907633543,5,6349,1.0,,
0.05472413823008537,5,6399,1.0,,
0.03803011029958725,5,6449,1.0,,
0.25110745429992676,5,6499,0.875,,
0.0060805813409388065,5,6549,1.0,,
0.012431319802999496,5,6599,1.0,,
0.012484556064009666,5,6649,1.0,,
0.00621861033141613,5,6699,1.0,,
0.023775683715939522,5,6749,1.0,,
0.011607971042394638,5,6799,1.0,,
0.013022367842495441,5,6849,1.0,,
0.14546701312065125,5,6899,0.9375,,
0.08451797068119049,5,6949,0.9375,,
0.7971915602684021,5,6999,0.875,,
0.0537453331053257,5,7049,1.0,,
0.023593364283442497,5,7099,1.0,,
0.025872167199850082,5,7149,1.0,,
0.34923097491264343,5,7199,0.875,,
0.023363813757896423,5,7249,1.0,,
0.016591640189290047,5,7299,1.0,,
0.019796617329120636,5,7349,1.0,,
0.005526058841496706,5,7399,1.0,,
0.21911068260669708,5,7449,0.9375,,
0.2920930087566376,5,7499,0.875,,
,5,7499,,0.7644000053405762,0.9179849624633789
0.008794287219643593,6,7549,1.0,,
0.0016006403602659702,6,7599,1.0,,
0.019651835784316063,6,7649,1.0,,
0.009581172838807106,6,7699,1.0,,
0.0929453894495964,6,7749,0.9375,,
0.11644081026315689,6,7799,0.9375,,
0.0017400780925527215,6,7849,1.0,,
0.0006058318540453911,6,7899,1.0,,
0.019891880452632904,6,7949,1.0,,
0.006266440264880657,6,7999,1.0,,
0.0017754383152350783,6,8049,1.0,,
0.0029898351058363914,6,8099,1.0,,
0.0007624030113220215,6,8149,1.0,,
0.008344118483364582,6,8199,1.0,,
0.021179743111133575,6,8249,1.0,,
0.004389656707644463,6,8299,1.0,,
0.012263982556760311,6,8349,1.0,,
0.005527747794985771,6,8399,1.0,,
0.07119882106781006,6,8449,0.9375,,
0.011647198349237442,6,8499,1.0,,
0.003510846057906747,6,8549,1.0,,
0.03883253410458565,6,8599,1.0,,
0.003237369004637003,6,8649,1.0,,
0.002268768148496747,6,8699,1.0,,
0.06743404269218445,6,8749,0.9375,,
,6,8749,,0.7577999830245972,1.165024757385254
0.013208440504968166,7,8799,1.0,,
0.0008780876523815095,7,8849,1.0,,
0.008219136856496334,7,8899,1.0,,
0.005714088212698698,7,8949,1.0,,
5.967955803498626e-05,7,8999,1.0,,
0.0005440689856186509,7,9049,1.0,,
0.007955660112202168,7,9099,1.0,,
0.0007442052010446787,7,9149,1.0,,
0.008502901531755924,7,9199,1.0,,
0.01915399357676506,7,9249,1.0,,
0.24375838041305542,7,9299,0.9375,,
0.0076211062259972095,7,9349,1.0,,
0.019140340387821198,7,9399,1.0,,
0.002113990020006895,7,9449,1.0,,
0.0020216763950884342,7,9499,1.0,,
0.0004476093454286456,7,9549,1.0,,
5.7029152230825275e-05,7,9599,1.0,,
0.010105293244123459,7,9649,1.0,,
0.04675712808966637,7,9699,1.0,,
0.004115639720112085,7,9749,1.0,,
0.001148884417489171,7,9799,1.0,,
0.00015723428805358708,7,9849,1.0,,
0.0013807691866531968,7,9899,1.0,,
0.06445787847042084,7,9949,1.0,,
0.002234403043985367,7,9999,1.0,,
,7,9999,,0.7639999985694885,1.1056796312332153
0.049114763736724854,8,10049,0.9375,,
0.0012442092411220074,8,10099,1.0,,
0.006933538243174553,8,10149,1.0,,
0.03419585898518562,8,10199,1.0,,
0.0032475460320711136,8,10249,1.0,,
4.594151323544793e-05,8,10299,1.0,,
0.0038820516783744097,8,10349,1.0,,
0.0025067056994885206,8,10399,1.0,,
0.0020910243038088083,8,10449,1.0,,
0.005111142061650753,8,10499,1.0,,
0.0006501090829260647,8,10549,1.0,,
0.01199672743678093,8,10599,1.0,,
0.029223958030343056,8,10649,1.0,,
0.0045057800598442554,8,10699,1.0,,
0.0019527830881997943,8,10749,1.0,,
0.008847716264426708,8,10799,1.0,,
0.000934988260269165,8,10849,1.0,,
0.00015225048991851509,8,10899,1.0,,
0.05380501598119736,8,10949,0.9375,,
0.0017567728646099567,8,10999,1.0,,
0.0022461949847638607,8,11049,1.0,,
0.0037167249247431755,8,11099,1.0,,
0.093312107026577,8,11149,0.9375,,
0.0002629545342642814,8,11199,1.0,,
0.00017200842557940632,8,11249,1.0,,
,8,11249,,0.7670000195503235,1.4604992866516113
0.0006066262139938772,9,11299,1.0,,
0.0005111541831865907,9,11349,1.0,,
0.00018655053281690925,9,11399,1.0,,
0.0021103639155626297,9,11449,1.0,,
0.00034061993937939405,9,11499,1.0,,
0.0002279809705214575,9,11549,1.0,,
0.0005081183044239879,9,11599,1.0,,
0.00040969991823658347,9,11649,1.0,,
0.00013437980669550598,9,11699,1.0,,
9.632502042222768e-05,9,11749,1.0,,
0.0004181654076091945,9,11799,1.0,,
8.666190842632204e-05,9,11849,1.0,,
8.679776328790467e-06,9,11899,1.0,,
0.6646469235420227,9,11949,0.875,,
0.04275907948613167,9,11999,1.0,,
0.0013342556776478887,9,12049,1.0,,
0.002913360483944416,9,12099,1.0,,
0.005835303571075201,9,12149,1.0,,
0.00511320773512125,9,12199,1.0,,
0.013724562712013721,9,12249,1.0,,
0.0038895003963261843,9,12299,1.0,,
0.0025332882069051266,9,12349,1.0,,
0.0008939301478676498,9,12399,1.0,,
0.0008757277391850948,9,12449,1.0,,
0.030816569924354553,9,12499,1.0,,
,9,12499,,0.7785999774932861,1.4239792823791504
